rank,name,year,total
4898,Shaft,2019,21360215
4899,Intersection,1994,21355893
4900,Waist deep,2006,21353303
4901,The bells of st. mary's,1945,21333333
4902,Bears,2014,21316745
4903,Hotel mumbai,2019,21314816
4904,High school high,1996,21302121
4905,Love live! the school idol movie,2015,21292009
4906,Integrity,2019,21290004
4907,New york minute,2004,21289826
4908,The black cauldron,1985,21288692
4909,Arn: the knight templar,2007,21287566
4910,To die for,1995,21284514
4911,Coneheads,1993,21274717
4912,Michael jordan to the max,2000,21268532
4913,I'm so excited!,2013,21245677
4914,Nosso lar,2010,21225527
4915,The prison,2017,21205329
4916,Fame,1980,21202829
4917,Straight talk,1992,21202099
4918,The right stuff,1983,21192102
4919,The apology king,2013,21188003
4920,Red dog,2011,21185162
4921,Atl,2006,21170563
4922,Three kingdoms,2008,21159916
4923,Penelope,2007,21156270
4924,Cujo,1983,21156152
4925,A rainy day in new york,2019,21154956
4926,The prodigy,2018,21150265
4927,Mindhunters,2004,21148829
4928,Stir of echoes,1999,21142914
4929,Kuffs,1992,21142815
4930,Things are tough all over,1982,21134374
4931,Beasts of the southern wild,2012,21107746
4932,The magdalene sisters,2002,21107578
4933,Minha vida em marte,2018,21105636
4934,Night shift,1982,21095638
4935,Tales from the crypt: demon knight,1995,21089146
4936,The secret mission,2019,21083522
4937,F/x2,1991,21082165
4938,While we're young,2015,21075757
4939,Multiplicity,1996,21075014
4940,Himalaya,2000,21069306
4941,Weekend pass,1984,21058033
4942,My girlfriend is an agent,2009,21056256
4943,What the #$*! do we (k)now!?,2004,21054050
4944,Unplanned,2019,21051915
4945,The wiz,1978,21049053
4946,Punchline,1988,21042667
4947,Gonjiam: haunted asylum,2018,21041950
4948,A room with a view,1986,21040317
4949,Creepshow,1982,21028755
4950,Yves saint laurent,2014,21026290
4951,My hero academia: two heroes,2018,21022724
4952,Christine,1983,21017849
4953,The air up there,1994,21011318
4954,The infiltrator,2016,21011110
4955,Iron will,1994,21006361
4956,Memoirs of a murderer,2017,21001633
4957,Before midnight,2013,20994648
4958,Black lightning,2009,20984902
4959,The legend of 1900,1999,20983317
4960,The man with the golden gun,1974,20972000
4961,71: into the fire,2010,20967660
4962,Quest for fire,1982,20962615
4963,Don't be a menace to south central while drinking your juice in the hood,1996,20949601
4964,Once,2007,20936722
4965,The apple dumpling gang rides again,1979,20931111
4966,Cm101mmxi fundamentals,2013,20922871
4967,El nino,2014,20918976
4968,Super mario bros.,1993,20915465
4969,Amores perros,2001,20908467
4970,The best offer,2013,20905542
4971,They shall not grow old,2018,20904188
4972,The devil's rejects,2005,20901859
4973,Pee mak,2013,20896252
4974,On your wedding day,2018,20895905
4975,Mr. baseball,1992,20883046
4976,Pokémon heroes,2002,20867919
4977,A moment to remember,2005,20865847
4978,Jason's lyric,1994,20851521
4979,G.o.r.a.,2004,20839049
4980,Fear,1996,20831000
4981,Kureyon shinchan: bakusui! yumemî wârudo daitotsugeki!,2016,20816508
4982,Vicky and the treasure of the gods,2011,20796153
4983,Love nowadays,2009,20794985
4984,Le grand chef,2007,20794760
4985,Prince ivan and the grey wolf 2,2013,20791052
4986,Best in show,2000,20789556
4987,Superfly,2018,20780685
4988,Lady of the dynasty,2015,20778906
4989,Detective conan: strategy above the depths,2005,20768817
4990,The dead zone,1983,20766616
4991,Monty python's life of brian,1979,20738770
4992,Bobby,2006,20718608
4993,Julia,1977,20714400
4994,Pandemic,2009,20712567
4995,Hamlet,1990,20710451
4996,Speechless,1994,20667959
4997,The man from snowy river,1982,20659423
4998,The photograph,2020,20653204
4999,Keanu,2016,20651333
5000,Pandorum,2009,20648328
5001,Super size me,2004,20645757
5002,The front line,2011,20629645
5003,A christmas story,1983,20618717
5004,F/x,1986,20603715
5005,Polisse,2011,20601245
5006,If beale street could talk,2018,20596567
5007,Hollywoo,2011,20587850
5008,Walk hard: the dewey cox story,2007,20576198
5009,The great gatsby,1974,20563273
5010,Child's play 3,1991,20560255
5011,The last station,2009,20554320
5012,Micmacs,2009,20550145
5013,The man with the iron fists,2012,20546518
5014,The 11 commandments,2004,20537839
5015,Country strong,2010,20529194
5016,Porky's revenge,1985,20518905
5017,Friend 2,2013,20502243
5018,Cock and bull,2016,20490872
5019,The final conflict,1981,20471382
5020,One hundred thousand bad jokes 2,2017,20460352
5021,My life in ruins,2009,20458873
5022,Top secret!,1984,20458340
5023,Duel in the sun,1946,20428771
5024,La cage aux folles,1979,20424259
5025,The sapphires,2012,20423628
5026,Ladies in lavender,2004,20421130
5027,Hello again,1987,20419446
5028,That demon within,2014,20415934
5029,The mole song: undercover agent reiji,2014,20392349
5030,F.i.s.t.,1978,20388920
5031,Beerfest,2006,20387597
5032,The clan,2015,20381995
5033,Sgt. pepper's lonely hearts club band,1978,20378470
5034,The namesake,2007,20354321
5035,The glimmer man,1996,20351264
5036,Showgirls,1995,20350754
5037,Burn the stage: the movie,2018,20347513
5038,Code of silence,1985,20345361
5039,Cold war,2008,20343051
5040,City hall,1996,20340204
5041,Sadako 3d,2012,20335408
5042,Babysitting,2014,20334564
5043,The presidio,1988,20324096
5044,Brahms: the boy ii,2020,20311536
5045,Vampires,1998,20308772
5046,Hot dog... the movie,1984,20307325
5047,Jetsons: the movie,1990,20305841
5048,The people vs. larry flynt,1996,20300385
5049,The cowboy way,1994,20280016
5050,Labor day,2014,20275812
5051,"Les trois frères, le retour",2014,20268560
5052,The incredible shrinking woman,1981,20259961
5053,Action jackson,1988,20256975
5054,Scabbard samurai,2011,20251745
5055,The neverending story,1984,20250857
5056,Mobsters,1991,20246790
5057,Critical condition,1987,20240502
5058,Stella,1990,20240128
5059,Ong-bak: the thai warrior,2003,20235426
5060,Six pack,1982,20225989
5061,Singh is bliing,2015,20224851
5062,Beck,2010,20219060
5063,Another stakeout,1993,20208496
5064,Eiga kureyon shinchan: otakebe! kasukabe yasei-oukoku,2007,20198905
5065,"Corrina, corrina",1994,20164171
5066,Dracula,1979,20158970
5067,How not to rescue a princess,2010,20157447
5068,Ballistic: ecks vs. sever,2002,20154899
5069,Juice,1992,20146880
5070,Serving sara,2002,20146150
5071,Mulholland drive,2001,20129557
5072,Melinda and melinda,2004,20129327
5073,Hirugao,2017,20129230
5074,Love and death,1975,20123742
5075,My favorite year,1982,20123620
5076,Cado dalle nubi,2009,20123466
5077,This crazy heart,2017,20118769
5078,Tess,1980,20101247
5079,I heart huckabees,2004,20094909
5080,Botanical books,2016,20084530
5081,This is tomas,2019,20084169
5082,Flipper,1996,20080020
5083,Shui zhai wo shang pu de xiong di,2016,20069212
5084,Only you,1994,20059210
5085,Booty call,1997,20050376
5086,An innocent man,1989,20047604
5087,The bling ring,2013,20045576
5088,Evening,2007,20016753
5089,With honors,1994,20016254
5090,The company you keep,2012,20014680
5091,Taking care of business,1990,20005435
5092,Mr. highheels,2016,20003919
5093,Escape to witch mountain,1975,20000000
5094,Eyes of laura mars,1978,20000000
5095,The divine weapon,2008,19991573
5096,The wife,2018,19978189
5097,Kaiji 2: the ultimate gambler,2011,19971259
5098,About her brother,2010,19969473
5099,Crazy/beautiful,2001,19937988
5100,The babe,1992,19930973
5101,Unfaithfully yours,1984,19928200
5102,Breathless,1983,19910002
5103,Nighthawks,1981,19905359
5104,Get over it,2001,19900366
5105,Mafia!,1998,19889299
5106,Fire in the sky,1993,19885552
5107,Volunteers,1985,19875740
5108,Hard rain,1998,19870567
5109,The apostle,1997,19868354
5110,Altered states,1980,19853892
5111,Jaane tu... ya jaane na,2008,19852786
5112,Blindness,2008,19844979
5113,The wings of the kirin,2012,19835053
5114,The rooftop,2013,19833152
5115,Cruising,1980,19814523
5116,Partners: the movie iii,2014,19814411
5117,Lorelei: the witch of the pacific ocean,2005,19806585
5118,Go fighting: royal treasure,2016,19800195
5119,Justin and the knights of valour,2013,19799759
5120,Trick the movie: psychic battle royale,2010,19795115
5121,Ice 2,2020,19788995
5122,The diving bell and the butterfly,2007,19780116
5123,2 days in paris,2007,19776159
5124,Flu,2013,19775853
5125,Hello ghost,2010,19774455
5126,Summer catch,2001,19772447
5127,The perfect man,2005,19770475
5128,Gone,2012,19767535
5129,Vampire in brooklyn,1995,19751736
5130,Thomas and the magic railroad,2000,19748009
5131,Gone fishin',1997,19745922
5132,Betsy's wedding,1990,19740070
5133,Young sherlock holmes,1985,19739575
5134,It comes at night,2017,19735344
5135,The principal,1987,19734940
5136,Pokémon the movie: volcanion and the mechanical marvel,2016,19727392
5137,Color of night,1994,19726050
5138,Another year,2010,19722766
5139,Wes craven's new nightmare,1994,19721741
5140,Xi yang yang yu hui tai lang zhi xi qi yang yang guo she nian,2013,19713518
5141,Be with you,2018,19711640
5142,O chyom eshchyo govoryat muzhchiny,2011,19705392
5143,"Same time, next year",1979,19703082
5144,Brothers,2015,19695610
5145,Duck duck goose,2018,19676514
5146,Skin deep,1989,19674852
5147,Tucker: the man and his dream,1988,19652638
5148,Solomon kane,2009,19652185
5149,Blackhat,2015,19652057
5150,Youth in revolt,2010,19651093
5151,Amelia,2009,19643086
5152,Don,2006,19640129
5153,The thing,1982,19629760
5154,8 seconds,1994,19623396
5155,Shackleton's antarctic adventure,2001,19622769
5156,Drop,2009,19611028
5157,Warkop dki reborn: jangkrik boss part 1,2016,19608000
5158,Marrying the mafia iii,2006,19606487
5159,The astronaut's wife,1999,19598588
5160,The seduction of joe tynan,1979,19595168
5161,The serpent and the rainbow,1988,19595031
5162,Until the break of dawn,2012,19585809
5163,Puella magi madoka magica the movie part iii: the rebellion story,2013,19582747
5164,S1m0ne,2002,19576023
5165,Hot summer days,2010,19573451
5166,The guard,2011,19561904
5167,Léon: the professional,1994,19552639
5168,View from the top,2003,19526014
5169,Police academy 5: assignment: miami beach,1988,19510371
5170,Nisos 2: to kynigi tou hamenou thisavrou,2011,19508880
5171,Hero,1992,19507345
5172,Margin call,2011,19504039
5173,Love for beginners,2012,19499312
5174,In this corner of the world,2016,19496308
5175,Il cosmo sul comò,2008,19494191
5176,High security vacation,2009,19487557
5177,It takes two,1995,19474589
5178,Friday the 13th part vi: jason lives,1986,19472057
5179,2046,2004,19470239
5180,Blue is the warmest colour,2013,19465835
5181,Vanity fair,2004,19463185
5182,Attraction,2017,19454845
5183,House,1986,19444631
5184,Doug's 1st movie,1999,19440089
5185,Buried,2010,19439764
5186,House party 2,1991,19438638
5187,The witness,2018,19424375
5188,Kamen rider decade: all riders vs. dai-shocker,2009,19418091
5189,Get carter,2000,19412993
5190,Ballad,2009,19380161
5191,The edge of seventeen,2016,19370020
5192,Sekigahara,2017,19356047
5193,The specials,2019,19355508
5194,Tuck everlasting,2002,19344615
5195,Rock star,2001,19334145
5196,Duplex,2003,19322135
5197,The white ribbon,2009,19319671
5198,Joe,1970,19319254
5199,Ex-files,2014,19310000
5200,Little giants,1994,19306362
5201,Cell 211,2009,19305314
5202,Woman in love,2011,19302752
5203,Deep blue,2003,19292539
5204,Summer of sam,1999,19288130
5205,Mapado,2005,19286223
5206,Deathtrap,1982,19282134
5207,House party 3,1994,19281235
5208,Best defense,1984,19265302
5209,The lost city of z,2017,19263938
5210,O,2001,19260537
5211,The servant,2010,19259164
5212,Space brothers,2012,19248130
5213,The classified file,2015,19243890
5214,Gekijouban spec: kurôzu - kou no hen,2013,19243799
5215,Half past dead,2002,19233280
5216,Eyjafjallajökull,2013,19226272
5217,Windstruck,2004,19225992
5218,Christmas & co.,2017,19222086
5219,Species ii,1998,19221939
5220,Foxcatcher,2014,19206513
5221,The replacement killers,1998,19204929
5222,Martin lawrence live: runteldat,2002,19184820
5223,Everybody knows,2018,19176163
5224,Lyubov 2 morkov,2008,19171562
5225,Friday the 13th part vii: the new blood,1988,19170001
5226,Till luck do us part 2,2013,19164182
5227,My annoying brother,2016,19162324
5228,Heroine disqualified,2015,19161661
5229,How to lose friends & alienate people,2008,19152009
5230,Mother,1996,19145198
5231,Norwegian wood,2010,19144719
5232,Blaze,1989,19131246
5233,Oolong courtyard: kungfu school,2018,19129015
5234,The weather man,2005,19126398
5235,Shame,2011,19123767
5236,Princess toyotomi,2011,19122151
5237,Death note: light up the new world,2016,19117022
5238,The bad news bears in breaking training,1977,19104350
5239,Johnny mnemonic,1995,19075720
5240,Bhool bhulaiyaa,2007,19073095
5241,The corsican file,2004,19035653
5242,Mommie dearest,1981,19032261
5243,The big bad fox and other tales,2017,19030780
5244,Aladdin 2,2018,19024452
5245,Always miss you,2019,19015465
5246,Memoir of a murderer,2017,19015346
5247,A mighty heart,2007,19008745
5248,Beneath the planet of the apes,1970,18999718
5249,Sniper,1993,18994653
5250,"Kamen rider fourze: everyone, space is here!",2011,18982811
5251,A frozen flower,2008,18980744
5252,The octagon,1980,18971000
5253,Headhunters,2011,18962444
5254,Akeelah and the bee,2006,18948425
5255,Kazaam,1996,18937262
5256,Temporary family,2014,18936753
5257,The man who wasn't there,2001,18916623
5258,The curse of the jade scorpion,2001,18914307
5259,Unfair the end,2015,18913492
5260,The odd couple ii,1998,18912328
5261,Feardotcom,2002,18902015
5262,Untamed heart,1993,18898806
5263,Head over heels,2010,18876082
5264,Spellbound,2011,18875078
5265,The seventh sign,1988,18875011
5266,Taras bulba,2009,18874808
5267,The wild guys 4,2007,18873863
5268,Above the law,1988,18869631
5269,Getting even with dad,1994,18869594
5270,An officer and a spy,2019,18867608
5271,Kitaro,2007,18856642
5272,[rec] 2,2009,18853164
5273,Me and marilyn,2009,18844036
5274,Paternity,1981,18838812
5275,Under the rainbow,1981,18826490
5276,Mr. nice guy,1998,18814720
5277,The counterfeiters,2007,18814713
5278,Thrill ride: the science of fun,1997,18798590
5279,Mortal thoughts,1991,18784957
5280,Suspect,1987,18782400
5281,Father and son,2017,18764047
5282,Swing girls,2004,18758613
5283,Sex drive,2008,18755936
5284,Les misérables,2013,18755018
5285,The believers,1987,18753438
5286,A mighty wind,2003,18750246
5287,Look at me,2004,18729751
5288,Iznogoud- caliph instead of the caliph,2005,18725588
5289,3000 miles to graceland,2001,18720175
5290,Love in vegas,2014,18717556
5291,See no evil,2006,18707966
5292,Year of the dragon,1985,18707466
5293,Pina,2011,18705853
5294,Her alibi,1989,18699037
5295,Happy-go-lucky,2008,18696602
5296,13 assassins,2010,18689058
5297,Casualties of war,1989,18671317
5298,Glee: the 3d concert movie,2011,18663238
5299,The drop,2014,18658381
5300,Greta,2019,18653107
5301,Peppa celebrates chinese new year,2019,18653040
5302,Suddenly seventeen,2016,18652886
5303,Blame it on rio,1984,18644570
5304,Waiting...,2005,18637690
5305,Admission,2013,18637201
5306,The quick and the dead,1995,18636537
5307,Geronimo: an american legend,1993,18635620
5308,Max keeble's big move,2001,18634654
5309,Paradise,1991,18634643
5310,The fan,1996,18626419
5311,An unfinished life,2005,18618284
5312,Sector 7,2011,18618028
5313,Il principe abusivo,2013,18614277
5314,My father and my son,2005,18612999
5315,De-lovely,2004,18611951
5316,Detective k: secret of the living dead,2018,18603476
5317,Alice doesn't live here anymore,1974,18600000
5318,Fired up!,2009,18599102
5319,Battle of the sexes,2017,18598607
5320,Girls und panzer der film,2015,18596830
5321,The turning,2020,18594342
5322,Ho voglia di te,2007,18594142
5323,Hotchpotch returns,2008,18592306
5324,Empire,2002,18591272
5325,Prancer,1989,18587135
5326,Keeping mum,2005,18586834
5327,Flight of the navigator,1986,18564613
5328,The thirteenth floor,1999,18564088
5329,Some kind of wonderful,1987,18553948
5330,The visitors: bastille day,2016,18552314
5331,One hundred thousand bad jokes,2014,18550000
5332,An ideal husband,1999,18542974
5333,Peak: the rescuers,2011,18536792
5334,Black christmas,2019,18529730
5335,My love,2007,18525631
5336,Turetskiy gambit,2005,18520000
5337,Kaguya-sama wa kokurasetai ~ tensai tachi no ren'ai zunô sen ~,2019,18516460
5338,Men vs women,2010,18503619
5339,Airpocalypse,2018,18491089
5340,My baby's daddy,2004,18490423
5341,Listy do m. 3,2017,18490245
5342,252: signal of life,2008,18489379
5343,Lejdis,2008,18484522
5344,Hanbando,2006,18483140
5345,Motherless brooklyn,2019,18477736
5346,Singles,1992,18471850
5347,Easy virtue,2008,18463793
5348,Summer wars,2009,18434328
5349,Ladyhawke,1985,18432000
5350,The fabulous baker boys,1989,18428904
5351,Palm trees in the snow,2015,18428235
5352,Repo men,2010,18409891
5353,Loser,2000,18404706
5354,Prophecy,1979,18389402
5355,Kabei: our mother,2008,18385964
5356,Yo-kai watch 4,2017,18385844
5357,Bandidas,2006,18381890
5358,The wasted times,2016,18345372
5359,Sleeper,1973,18344729
5360,Commerce (pas très) équitable,2010,18342838
5361,Manhunt,2017,18339343
5362,Big baker's unlucky bear,2017,18330043
5363,As it is in heaven,2005,18328469
5364,Gooische vrouwen ii,2014,18326296
5365,Quai des illusions,2004,18321014
5366,Fabricated city,2017,18307490
5367,The sheriff in town,2017,18303514
5368,That darn cat,1997,18301610
5369,Asura,2016,18300843
5370,The world's fastest indian,2005,18297690
5371,Posse,1993,18289763
5372,Love affair,1994,18272894
5373,Chappaquiddick,2018,18263470
5374,New kids turbo,2010,18261046
5375,Crimes and misdemeanors,1989,18254702
5376,Simon birch,1998,18253415
5377,Friends with money,2006,18245244
5378,Sugar hill,1994,18225518
5379,The visitor,2008,18197518
5380,Daddy day camp,2007,18197398
5381,Dead men don't wear plaid,1982,18196170
5382,Antitrust,2001,18195610
5383,My boss's daughter,2003,18191005
5384,The case for christ,2017,18175663
5385,Sorry to bother you,2018,18170707
5386,Soul kitchen,2009,18164139
5387,Voice of a murderer,2007,18160598
5388,Hell fest,2018,18159691
5389,Milk money,1994,18137661
5390,The sure thing,1985,18135531
5391,All the pretty horses,2000,18133495
5392,Ducktales the movie: treasure of the lost lamp,1990,18115724
5393,"Isoroku yamamoto, the commander-in-chief of the combined fleet",2011,18110621
5394,The con artists,2014,18106167
5395,Blinded by the light,2019,18096691
5396,Everything you always wanted to know about sex * but were afraid to ask,1972,18090065
5397,The lighthouse,2019,18082592
5398,Dead man down,2013,18074539
5399,Krrish,2006,18041250
5400,"Jo jo dancer, your life is calling",1986,18034150
5401,From me to you,2010,18033727
5402,Mr. pride vs. miss prejudice,2017,18019651
5403,Cape no. 7,2008,18015600
5404,The country bears,2002,18012097
5405,Harlock: space pirate,2013,18010317
5406,The importance of being earnest,2002,18009625
5407,Herbie goes bananas,1980,18000000
5408,Cantinflas,2014,17998703
5409,Ataru,2013,17991975
5410,Quills,2000,17989227
5411,Kalank,2019,17987034
5412,Dope,2015,17986781
5413,The howling,1981,17985893
5414,Whiteout,2009,17976667
5415,Ten days without mom,2017,17972125
5416,The girl in the sun,2013,17966855
5417,Used people,1992,17957265
5418,Cb4,1993,17953778
5419,Born yesterday,1993,17952857
5420,Mumon: the land of stealth,2017,17952505
5421,City of ember,2008,17929684
5422,Flowers in the shadow,2008,17918898
5423,Cyrano agency,2010,17917697
5424,The crow: city of angels,1996,17917287
5425,Crayon shin-chan: honeymoon hurricane - the lost hiroshi,2019,17903071
5426,Raaz 3: the third dimension,2012,17899667
5427,"Carry on, munna bhai",2006,17897527
5428,My tutor friend,2003,17896209
5429,9-month stretch,2013,17891858
5430,Black money,2019,17887384
5431,We have a pope,2011,17877523
5432,Shield of straw,2013,17876628
5433,Road to ninja - naruto the movie,2012,17876559
5434,A prophet,2009,17874044
5435,The old man & the gun,2018,17860397
5436,Flyboys,2006,17858059
5437,Sibling rivalry,1990,17854933
5438,Lucky luke,2009,17854472
5439,The quiet ones,2014,17835162
5440,Honeysuckle rose,1980,17815212
5441,Battle of the warriors,2006,17812601
5442,The edge of heaven,2007,17804565
5443,Jail breakers,2002,17797711
5444,The last kiss,2002,17784993
5445,Friendship,2008,17779520
5446,Forever enthralled,2008,17773395
5447,Deception,2008,17772506
5448,The delta force,1986,17768900
5449,Halloween 4: the return of michael myers,1988,17768757
5450,Unforgettable,2017,17768012
5451,The rage: carrie 2,1999,17762705
5452,64: part i,2016,17756875
5453,Clash of the families,2011,17748829
5454,Oba: the last samurai,2011,17737092
5455,The accidental detective,2003,17736759
5456,The big green,1995,17736619
5457,For the love of benji,1977,17732000
5458,Reign of government,2008,17722998
5459,Way back home,2011,17722776
5460,Luk fuk hei si,2014,17716725
5461,Joyeux noel,2005,17709155
5462,The children act,2018,17696794
5463,Memories of tomorrow,2006,17696020
5464,Avenue montaigne,2006,17690533
5465,Heavyweights,1995,17689177
5466,Grave decisions,2006,17685834
5467,The big easy,1987,17685307
5468,Jue zhan shi shen,2017,17677325
5469,Regression,2015,17671101
5470,Before i go to sleep,2014,17669776
5471,Kit kittredge: an american girl,2008,17657973
5472,You are my sunshine,2005,17650142
5473,The oxford murders,2008,17646627
5474,Kaiji: final game,2020,17645779
5475,Frantic,1988,17637950
5476,Swing vote,2008,17635397
5477,The postman,1997,17626234
5478,Neerja,2015,17618280
5479,Max dugan returns,1983,17613720
5480,Palais royal!,2005,17612135
5481,Operation finale,2018,17612099
5482,Svaha: the sixth finger,2019,17607783
5483,Hitman: agent jun,2020,17601351
5484,Escape plan 2: hades,2018,17592626
5485,Eye of the beholder,1999,17589705
5486,Eye of the needle,1981,17583634
5487,Deliver us from eva,2003,17573594
5488,Little boy,2015,17572289
5489,Diva,2007,17572230
5490,Take this job and shove it,1981,17569027
5491,Toilet: a love story,2017,17567417
5492,In the land of women,2007,17562071
5493,Johnny be good,1988,17550399
5494,Crayon shin-chan,2014,17542139
5495,Invasion u.s.a.,1985,17536256
5496,Loving pablo,2018,17535962
5497,Addicted,2014,17534314
5498,Home for the holidays,1995,17519169
5499,Disturbing behavior,1998,17514980
5500,For keeps?,1988,17514553
5501,Lassiter,1984,17513452
5502,Roll bounce,2005,17500866
5503,Annapolis,2006,17496992
5504,Machete kills,2013,17496820
5505,Rebound,2005,17492014
5506,Angel,1984,17488564
5507,White palace,1990,17487531
5508,Natsume's book of friends the movie: tied to the temporal world,2018,17473797
5509,"Paris, je t'aime",2006,17471727
5510,Half baked,1998,17460020
5511,Eyyvah eyvah 3,2014,17455570
5512,Back to mom's,2016,17455542
5513,Capitalism: a love story,2009,17436509
5514,A guy thing,2003,17432163
5515,Pinocchio,2019,17427210
5516,Frailty,2002,17423030
5517,Fate/stay night: heaven's feel - i. presage flower,2017,17422935
5518,Stolen,2012,17415418
5519,Kapoor & sons,2016,17412627
5520,Billy and buddy,2013,17400053
5521,Look for a star,2009,17386063
5522,Fruitvale station,2013,17385830
5523,Firehouse dog,2007,17384424
5524,Murder in the first,1995,17381942
5525,Extreme measures,1996,17380126
5526,Stormy night,2005,17379776
5527,Outland,1981,17374595
5528,The neverending story ii: the next chapter,1991,17373527
5529,Tokyo family,2013,17370130
5530,Si accettano miracoli,2014,17368659
5531,My girl 2,1994,17359799
5532,The matador,2005,17356268
5533,Born in east l.a.,1987,17355263
5534,What a man,2011,17351247
5535,Valley girl,1983,17343596
5536,Masters of the universe,1987,17336370
5537,Mirage,2018,17325485
5538,The phantom,1996,17323326
5539,Would i lie to you? 2,2003,17317084
5540,To live and die in l.a.,1985,17307019
5541,Fate/stay night [heaven's feel] ii. lost butterfly,2019,17295864
5542,Genji monogatari: sennen no nazo,2011,17295465
5543,A bronx tale,1993,17287898
5544,12 rounds,2009,17280326
5545,Legend of the naga pearls,2017,17274695
5546,The mission,1986,17269723
5547,Dark world,2010,17257994
5548,Männersache,2009,17251261
5549,Witness,2019,17245147
5550,21 karat,2018,17241379
5551,Z storm,2014,17234954
5552,All the right moves,1983,17233166
5553,Chico xavier,2010,17229064
5554,My wish,2013,17226157
5555,Hudson hawk,1991,17218080
5556,New trial,2017,17198072
5557,Rushmore,1998,17195500
5558,Fled,1996,17193231
5559,Angel heart,1987,17185632
5560,Sidekicks,1993,17180393
5561,The nutcracker in 3d,2010,17177993
5562,Crayon shin-chan: burst serving! kung fu boys - ramen rebellion,2018,17170925
5563,Adventureland,2009,17164820
5564,7 kogustaki mucize,2019,17163660
5565,I'm off then,2009,17153058
5566,Saint seiya: legend of sanctuary,2014,17150803
5567,Mother,2009,17149348
5568,Viaggi di nozze,1995,17142208
5569,De l'autre côté du lit,2009,17141221
5570,The falcon and the snowman,1985,17130087
5571,Freejack,1992,17129026
5572,Johnny dangerously,1984,17124395
5573,My afternoons with margueritte,2010,17107143
5574,Hipsters,2008,17101695
5575,Diabolique,1996,17100266
5576,Pet sematary ii,1992,17092453
5577,Paradise kiss,2011,17088871
5578,Firestarter,1984,17080167
5579,Jason x,2001,17077882
5580,The heir apparent: largo winch,2008,17068748
5581,Paranoia,2013,17056265
5582,Kinsey,2004,17050017
5583,Melancholia,2011,17039814
5584,The guardian,1990,17037887
5585,Beyond outrage,2012,17027515
5586,Italians,2009,17026331
5587,Recep ivedik 6,2019,17018156
5588,Jury duty,1995,17014653
5589,Women vs men,2011,17010026
5590,Kiss of the spider woman,1985,17009654
5591,Dead weight,2002,17006200
5592,26 years,2012,17003684
5593,Tini: the new life of violetta,2001,17000172
5594,Dad's holiday,2015,17000000
5595,Celal and ceren,2013,16999831
5596,Kung pow: enter the fist,2002,16994625
5597,Death sentence,2007,16974459
5598,Chinese puzzle,2013,16968297
5599,Till luck do us part,2012,16963608
5600,Catch that kid,2004,16951702
5601,Bullyparade: the movie,2017,16943483
5602,Rachel getting married,2008,16937968
5603,Los ojos de julia,2010,16934369
5604,The war,1994,16928556
5605,The one and only,1978,16928137
5606,Once upon a time in bethlehem,2019,16925503
5607,Sugar & spice,2001,16923761
5608,Shanghai fortress,2019,16923671
5609,Krull,1983,16916617
5610,Material girls,2006,16907725
5611,Zapped!,1982,16897768
5612,They call me bruce,1982,16894678
5613,Calvary,2014,16887741
5614,Zhara,2006,16877870
5615,Life or something like it,2002,16872671
5616,Aegis,2005,16869261
5617,The last godfather,2010,16863629
5618,The cold light of day,2012,16863583
5619,The pyramid,2014,16861137
5620,The good girl,2002,16860964
5621,Island of lemurs: madagascar,2014,16860855
5622,Running turtle,2009,16859018
5623,Death warrant,1990,16853487
5624,Ex,2009,16843486
5625,Happiness never comes alone,2012,16840841
5626,Monkey kingdom,2015,16839663
5627,Femme fatale,2002,16838910
5628,Stolen identity,2018,16831582
5629,"Black coal, thin ice",2014,16830885
5630,House of 1000 corpses,2003,16829545
5631,Baby's day out,1994,16827402
5632,Lightning jack,1994,16821273
5633,Andre,1994,16820893
5634,Hit and run,2012,16816647
5635,Hardcore henry,2016,16810562
5636,Hollywoodland,2006,16800438
5637,Bringing out the dead,1999,16797191
5638,Paparazzi,2004,16796512
5639,Love 911,2012,16786016
5640,The birth of a nation,2016,16779212
5641,Doraemon: nobita and the robot kingdom,2002,16776916
5642,Pride,2014,16775629
5643,Maiko haaaan!!!,2007,16764611
5644,House of sand and fog,2003,16763804
5645,My way,2012,16758611
5646,102 not out,2018,16758596
5647,54,1998,16757163
5648,Library wars,2013,16754139
5649,Heartfall arises,2016,16748620
5650,Salyut-7,2017,16746823
5651,Miss pettigrew lives for a day,2008,16724933
5652,Love is all you need,2012,16722143
5653,Delhi belly,2011,16706074
5654,Tensou sentai goseiger: epic on the movie,2010,16704506
5655,Blink,1994,16696219
5656,Whip it,2009,16691303
5657,Dogville,2003,16689283
5658,Winx club: the secret of the lost kingdom,2007,16688332
5659,1½ knights - in search of the ravishing princess herzelinde,2008,16680689
5660,Tremors,1990,16667084
5661,Rough cut,1980,16656125
5662,American dreamz,2006,16656103
5663,Cyberworld,2000,16653900
5664,My way,2011,16653488
5665,Extreme,1999,16653175
5666,True crime,1999,16649768
5667,The final countdown,1980,16647800
5668,Digimon: the movie,2000,16643191
5669,Upgrade,2018,16642505
5670,Deep cover,1992,16639799
5671,Beautiful boy,2018,16636604
5672,Everyone's hero,2006,16627188
5673,Buffy the vampire slayer,1992,16624456
5674,Top cat: the movie,2011,16611575
5675,Nothing to lose 2,2019,16610713
5676,Belle,2014,16607575
5677,Beat street,1984,16595791
