,Rank,Title,Lifetime Gross,Year
67,868,The Secret Life of Walter Mitty,"$188,133,322",2013
68,869,Project Gutenberg,"$188,116,796",2018
69,870,Jaws 2,"$187,884,007",1978
70,871,12 Years a Slave,"$187,733,202",2013
71,872,Heat,"$187,436,818",1995
72,873,Mr. Popper's Penguins,"$187,361,754",2011
73,874,The Grudge,"$187,281,115",2004
74,875,I Now Pronounce You Chuck & Larry,"$187,134,117",2007
75,876,The Horse Whisperer,"$186,883,563",1998
76,877,Walk the Line,"$186,797,986",2005
77,878,Jian Bing Man,"$186,699,768",2015
78,879,The Jungle Book 2,"$186,303,759",2003
79,880,The Final Destination,"$186,167,139",2009
80,881,Atlantis: The Lost Empire,"$186,053,725",2001
81,882,Inside Man,"$186,003,591",2006
82,883,The Waterboy,"$185,991,646",1998
83,884,Hugo,"$185,770,160",2011
84,885,Pitch Perfect 3,"$185,400,345",2017
85,886,Watchmen,"$185,382,813",2009
86,887,The Birdcage,"$185,260,553",1996
87,888,Moulin Rouge!,"$184,935,030",2001
88,889,Snow White and the Seven Dwarfs,"$184,925,486",1937
89,890,Hop,"$183,953,723",2011
90,891,Bad Moms,"$183,936,074",2016
91,892,Jupiter Ascending,"$183,887,723",2015
92,893,Knowing,"$183,658,498",2007
93,894,102 Dalmatians,"$183,611,771",2000
94,895,Stand by Me Doraemon,"$183,442,714",2014
95,896,Storks,"$183,388,953",2016
96,897,Paul Blart: Mall Cop,"$183,348,429",2009
97,898,Wayne's World,"$183,097,323",1992
98,899,Maverick,"$183,031,272",1994
99,900,Mirror Mirror,"$183,018,522",2012
100,901,The Man in the Iron Mask,"$182,968,902",1998
101,902,Cape Fear,"$182,291,969",1991
102,903,The Haunted Mansion,"$182,290,266",2003
103,904,The Monkey King Havoc in Heavens Palace,"$182,206,924",2014
104,905,While You Were Sleeping,"$182,057,016",1995
105,906,The Bridges of Madison County,"$182,016,617",1995
106,907,From Vegas to Macau III,"$181,732,879",2016
107,908,Abominable,"$181,714,959",2019
108,909,Poseidon,"$181,674,817",2006
109,910,The First Wives Club,"$181,489,203",1996
110,911,Scooby-Doo 2: Monsters Unleashed,"$181,216,833",2004
111,912,Hot Shots!,"$181,096,164",1991
112,913,Road to Perdition,"$181,001,478",2002
113,914,Kill Bill: Vol. 1,"$180,899,045",2003
114,915,The Scorpion King,"$180,630,907",2002
115,916,Sweet Home Alabama,"$180,622,424",2002
116,917,Daddy's Home 2,"$180,613,180",2017
117,918,Deja Vu,"$180,557,550",2006
118,919,Hacksaw Ridge,"$180,450,918",2016
119,920,The Post,"$179,769,457",2017
120,921,Dangerous Minds,"$179,519,401",1995
121,922,The Dictator,"$179,379,533",2012
122,923,The League of Extraordinary Gentlemen,"$179,265,204",2003
123,924,Allegiant,"$179,246,868",2016
124,925,Daredevil,"$179,179,718",2003
125,926,City Slickers,"$179,033,791",1991
126,927,He's Just Not That Into You,"$178,866,158",2009
127,928,Eagle Eye,"$178,767,383",2008
128,929,Along Came Polly,"$178,311,729",2004
129,930,Flushed Away,"$178,281,554",2006
130,931,Scary Movie 4,"$178,262,620",2006
131,932,Dante's Peak,"$178,127,760",1997
132,933,Brokeback Mountain,"$178,062,759",2005
133,934,Patriot Games,"$178,051,587",1992
134,935,Flubber,"$177,977,226",1997
135,936,Baywatch,"$177,856,751",2017
136,937,Double Jeopardy,"$177,841,558",1999
137,938,War Horse,"$177,584,879",2011
138,939,Paranormal Activity 2,"$177,512,032",2010
139,940,How to Lose a Guy in 10 Days,"$177,502,387",2003
140,941,Alien vs. Predator,"$177,427,090",2004
141,942,Hero,"$177,395,557",2002
142,943,The 40-Year-Old Virgin,"$177,378,645",2005
143,944,Lee Daniels' The Butler,"$177,313,795",2013
144,945,The Haunting,"$177,311,151",1999
145,946,The Descendants,"$177,243,185",2011
146,947,The A-Team,"$177,238,796",2010
147,948,Tootsie,"$177,200,000",1982
148,949,In the Line of Fire,"$176,997,168",1993
149,950,Analyze This,"$176,885,658",1999
150,951,The Hitman's Bodyguard,"$176,594,371",2017
151,952,Looper,"$176,506,819",2012
152,953,Serial (Bad) Weddings,"$176,404,493",2014
153,954,Dr. Dolittle 2,"$176,104,344",2001
154,955,The Italian Job,"$176,070,171",2003
155,956,Ip Man 4: The Finale,"$175,695,381",2019
156,957,The Bucket List,"$175,372,502",2007
157,958,Sleeping with the Enemy,"$174,999,005",1991
158,959,Cowboys & Aliens,"$174,822,325",2011
159,960,The Mule,"$174,804,407",2018
160,961,George of the Jungle,"$174,463,257",1997
161,962,Evan Almighty,"$174,440,724",2007
162,963,Identity Thief,"$173,965,010",2013
163,964,The Nutcracker and the Four Realms,"$173,961,069",2018
164,965,Big Momma's House,"$173,959,438",2000
165,966,In Time,"$173,930,596",2011
166,967,Amélie,"$173,924,742",2001
167,968,Operation Mekong,"$173,839,072",2016
168,969,Anchorman 2: The Legend Continues,"$173,649,931",2013
169,970,Creed,"$173,567,581",2015
170,971,Gemini Man,"$173,469,516",2019
171,972,The Girl on the Train,"$173,185,859",2016
172,973,Scream,"$173,046,663",1996
173,974,Cold Mountain,"$173,013,509",2003
174,975,Black Hawk Down,"$172,989,651",2001
175,976,The Grand Budapest Hotel,"$172,936,941",2014
176,977,The Santa Clause 2,"$172,855,065",2002
177,978,Cloverfield,"$172,394,180",2008
178,979,Scream 2,"$172,363,301",1997
179,980,Couples Retreat,"$171,844,840",2009
180,981,Antz,"$171,757,863",1998
181,982,Blood Diamond,"$171,720,398",2006
182,983,Jackass 3D,"$171,685,792",2010
183,984,No Country for Old Men,"$171,627,166",2007
184,985,Spies in Disguise,"$171,616,764",2019
185,986,John Wick: Chapter 2,"$171,539,887",2017
186,987,Cocktail,"$171,504,781",1988
187,988,Chinese Zodiac,"$171,339,013",2012
188,989,Mr. Deeds,"$171,269,535",2002
189,990,Contact,"$171,120,329",1997
190,991,Superbad,"$170,812,526",2007
191,992,The Other Guys,"$170,458,922",2010
192,993,The Specialist,"$170,362,582",1994
193,994,Olympus Has Fallen,"$170,270,201",2013
194,995,Starsky & Hutch,"$170,268,750",2004
195,996,Shall We Dance,"$170,128,460",2004
196,997,Stuart Little 2,"$169,956,806",2002
197,998,Zookeeper,"$169,852,759",2011
198,999,Dumb and Dumber To,"$169,837,010",2014
199,1000,Ghost in the Shell,"$169,801,921",2017
